# Emissions set to 1 Gg/yr 
# UNITS: Gg/yr 
year,box_0,box_1,box_2,box_3
1930,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1931,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1932,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1933,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1934,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1935,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1936,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1937,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1938,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1939,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1940,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1941,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1942,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1943,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1944,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1945,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1946,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1947,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1948,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1949,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1950,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1951,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1952,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1953,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1954,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1955,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1956,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1957,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1958,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1959,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1960,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1961,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1962,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1963,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1964,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1965,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1966,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1967,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1968,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1969,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1970,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1971,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1972,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1973,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1974,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1975,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1976,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1977,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1978,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1979,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1980,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1981,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1982,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1983,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1984,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1985,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1986,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1987,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1988,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1989,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1990,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1991,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1992,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1993,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1994,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1995,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1996,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1997,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1998,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
1999,0.8360680411024074,0.08983040007951557,0.04243968570126711,0.03166187311680972
